Debut: 0
Fin: 34
0 -> 1
2 <- 0
3 <- 0
5 <- 1
13 <- 1
0 <- 2
2 -> 3
2 -> 4
2 -> 6
1 <- 3
12 <- 3
3 -> 13
4 -> 3
5 -> 4
6 -> 10
6 -> 21
6 <- 7
6 <- 8
8 -> 11
10 -> 9
15 <- 10
10 -> 16
10 -> 17
10 -> 18
10 -> 19
20 <- 10
10 -> 21
6 <- 11
9 <- 11
4 <- 12
6 <- 12
8 <- 12
11 <- 12
13 -> 7
0 <- 14
5 <- 14
6 <- 14
14 -> 9
15 -> 14
8 <- 16
30 <- 16
31 <- 16
17 -> 30
18 -> 30
26 <- 19
28 <- 19
20 -> 11
21 -> 28
22 -> 30
24 <- 23
27 <- 24
29 <- 24
32 <- 25
25 -> 33
23 <- 26
26 -> 24
25 <- 26
26 -> 28
27 -> 29
28 -> 27
29 -> 33
30 -> 22
23 <- 30
16 <- 31
31 -> 22
32 -> 15
25 <- 32
34 <- 32
33 -> 34
32 <- 34
